ID	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	C1	C2	C3	C4	C8	C9
A0FGR8	-1.267842821	-0.876447279	-1.475674869	-1.503919836	NaN	NaN	-2.328413761	-1.846061038	-1.986928978	-1.522686069	NaN	-1.358582978	NaN	-2.067152719	-1.424559686	-1.489832054	NaN
E9PAV3	-0.56671256	-0.639707742	-0.823025146	-0.400635645	-0.393440526	NaN	0.079560186	-0.225933013	-0.043468892	-0.252155614	NaN	NaN	-1.106411991	NaN	-0.168456666	-0.35442949	-0.156641415
H0YHG0	-0.738109002	-1.198868495	-1.049544592	-0.871457824	-0.795715161	-0.695234676	0.267703298	-0.172412828	-0.505146576	0.278107813	-1.68814229	-0.998612793	-1.447784654	NaN	-0.886051951	-1.331896474	-0.746956486
L7N2F9	-0.660497864	-1.563375056	-0.469718387	-0.342023485	-0.063518385	-0.422098455	-0.89159019	-0.923872577	-0.385091814	-0.221986135	-1.116890628	NaN	-1.285559664	NaN	-0.615071963	-1.073151858	-1.015752284
O00151	-1.479968127	-2.446867796	NaN	-0.412350575	-0.94768966	-1.434815989	-2.33205851	-0.814661558	0.175233408	0.000253951	NaN	NaN	-1.142778178	-1.232286931	NaN	NaN	-2.123550358
O00159	2.336682235	3.458203006	1.937290718	2.783805594	2.210314547	1.109327851	0.631018542	0.819199386	0.781049592	0.387916179	0.999444831	0.803881058	1.046385976	0.799163954	1.040720518	0.815760953	0.405790711
O00231	NaN	-1.30431107	-1.085271928	-1.514582701	-0.868032673	NaN	-1.150853132	-1.087428351	-0.870437216	-1.494191316	NaN	NaN	-1.842317852	NaN	-0.683457124	-1.134903352	-0.518134686
O00264	-0.295298086	-0.290854548	-0.277108139	NaN	NaN	NaN	-0.73281281	-0.983388409	0.224879083	0.166325722	NaN	NaN	NaN	NaN	-0.416324214	-0.749544349	-0.472670124
O00299	0.641648598	0.795902841	0.576240865	0.676177209	1.072928477	0.619540188	1.106304942	0.630692847	0.656803629	0.946924873	-0.094336609	NaN	0.494685717	0.327492666	0.180774414	0.547026999	0.865288327
O00303	-2.57335121	NaN	-2.106170323	-2.464244154	NaN	NaN	-1.636523675	-2.684369054	-2.355743352	-1.707322922	NaN	NaN	-2.322435666	NaN	-1.715141451	-1.528920035	-2.265293189
O00429	-2.297561496	-1.72681812	-2.043947051	-2.257251448	-2.130611679	NaN	-1.728603318	-1.580696769	-0.805760348	-0.82549646	NaN	NaN	-2.132576669	-2.514620025	-1.543304527	-1.354630699	-1.254391353
O00468	0.117388203	-1.233189882	-2.005683985	-0.532206517	-0.466616318	-0.256333555	-1.268569786	-0.690022093	1.028328214	-0.228636152	-1.053770367	NaN	-1.194403611	-1.554587485	-0.223963995	-0.543468344	0.301262459
O00571	-3.007505847	-1.76622066	-3.050377765	NaN	NaN	NaN	-2.481439925	-1.227669966	-2.21223204	-1.863785253	NaN	NaN	NaN	-2.809794818	-2.250968669	-2.398270428	-1.641987241
O14558	5.091608495	3.348580629	4.509989656	3.938962832	3.786897123	2.876136613	-0.030765824	1.815338626	1.822625815	-0.321801103	3.439384751	3.81305623	2.692243306	3.487022796	2.58916958	3.876809894	3.660347227
O14818	-1.326543006	-1.006696432	-1.426496698	-1.719418798	NaN	-0.730694207	-0.761276317	-1.413547652	-0.466877922	-0.815379167	-0.929911261	NaN	NaN	-0.644587452	-0.422522411	-1.220416806	-1.224691878
O14974	0.711017142	1.533563297	-0.49401442	0.493431793	-0.739005438	-1.311478571	-1.225806301	-1.172863238	-1.73831105	-0.810632046	-1.907895331	NaN	-1.617688669	-0.386140425	-1.022482157	-1.264987122	-1.959743973
O14979	-1.339175103	-1.327833793	-0.891371573	-1.435614283	-0.995485523	NaN	0.264172872	-1.006255102	0.085184904	-0.545307007	NaN	NaN	NaN	-1.994086994	-0.037401764	-0.651563928	-0.13617899
O15061	6.082403126	6.835684317	5.868951007	6.269172761	5.358762787	5.654106326	3.936134954	5.295571287	4.648799125	4.562095981	4.572322969	4.192559689	4.709110481	5.253022022	6.332477913	6.240833601	4.565687432
O15144	-0.558546399	-0.237590089	-0.132910195	-0.332064169	0.061313035	-0.410129396	-0.963704514	-0.85582577	-0.326083173	-0.923203568	-0.238662739	NaN	-0.207775642	NaN	-0.505541497	-0.52155933	-0.172331499
O15173	NaN	-0.551313278	-0.358124412	NaN	-0.129151762	NaN	-0.799383869	-0.4571618	-0.284502763	-0.655505455	NaN	NaN	NaN	NaN	-0.230583362	-0.779047114	-0.562062099
O15230	4.446607462	5.783527976	3.012854259	4.043988558	1.670267843	1.470656279	-1.977399644	-0.203299873	2.616912532	1.26349993	-3.099394798	0.228624375	1.542937533	0.808681768	1.102231093	1.051826203	0.508447434
O15371	NaN	-2.090891986	-1.949997813	-2.063835261	-1.994377566	NaN	-1.52246358	-1.750507937	-1.031892257	-1.723635666	NaN	NaN	NaN	NaN	-1.773267844	-2.022641393	-1.950338257
O15400	-1.863301965	NaN	-1.904845341	-1.983691862	NaN	NaN	-1.112133375	-1.34335145	-1.020314782	-1.53744215	NaN	NaN	NaN	NaN	-2.817993625	-2.867979086	-1.877418077
O43143	-1.992874158	-2.670036025	-1.989613997	-2.308452529	-1.592530584	-2.124924481	0.352619225	-1.146463573	-0.769482936	-0.814682182	-2.076791268	NaN	-1.851580003	NaN	-1.51657029	-2.11472007	-1.615942004
O43175	-1.30753461	NaN	-1.873985174	-1.158149565	-1.625237443	-1.17362266	-0.778826881	-2.901287889	NaN	-2.173820762	-0.503394643	NaN	-2.449576613	NaN	-2.890217589	-1.98984607	NaN
O43237	-0.886277846	-0.286558322	-1.048628657	-1.050029461	-1.008077349	NaN	-1.92676373	-0.878841341	-1.692721525	-2.042438731	NaN	NaN	-1.519227888	NaN	-1.187598053	-1.411945859	-1.592741931
O43301	-1.305131943	-2.058778421	-1.652920862	-1.396234644	-0.835372205	-1.792503731	-1.322212852	-0.821203035	-0.372572998	-0.619212406	-0.966874809	NaN	-2.307379012	-1.76110753	-1.600356061	-0.86706387	-1.577830802
O43390	0.031792715	-0.83097457	-0.199352881	-0.202662077	-0.186621879	NaN	0.866219029	-0.6659104	-0.065272782	0.572396643	NaN	NaN	-0.937866791	-0.633640286	-0.202116245	-0.901337998	-0.351483426
O43399	-0.272149634	0.04051199	-0.473010026	-0.837844197	-0.676461848	-0.531777235	-0.640859944	0.870215894	0.889560902	-0.628259312	-0.649583918	-1.361254677	-0.923962367	-0.657669085	-0.376240491	0.014289071	0.513696603
O43490	-0.947918379	NaN	0.375812045	-0.708969611	NaN	NaN	0.490108005	1.660193109	1.799658429	0.111153602	NaN	-1.540454833	NaN	NaN	-2.18444473	-2.192296657	NaN
O43491	-0.425821481	-1.248632198	-0.703574052	-0.286076163	-1.211782421	-2.461452427	0.268219222	0.810816789	0.216696235	-0.601209981	NaN	NaN	NaN	NaN	-1.303119466	-0.343655579	-1.405437296
O43681	-1.15378212	-0.96878964	-0.850382674	-1.060642063	NaN	NaN	-0.302414374	-1.161602392	-0.80003352	-1.137231292	NaN	NaN	NaN	-1.127374597	-0.546782637	-0.828545817	-1.107457858
